#       # k              E            BS weight       TS weight
      2.7622838     -2.7813416       0.0091974       0.0018411
      2.7946459     -2.7821537       0.0093213       0.0020582
      2.8270080     -2.7830044       0.0095031       0.0023170
      2.8593701     -2.7838779       0.0097295       0.0026132
      2.8917322     -2.7847468       0.0099806       0.0029355
      2.9240943     -2.7855757       0.0102343       0.0032655
      2.9564564     -2.7863253       0.0104697       0.0035808
      2.9888184     -2.7869564       0.0106695       0.0038573
      3.0211805     -2.7874346       0.0108206       0.0040727
      3.0535426     -2.7877330       0.0109145       0.0042095
      3.0859047     -2.7878344       0.0109463       0.0042564
 
      0.0000000     -2.7709825       0.0005121       0.0007449
      0.0204780     -2.7710496       0.0004916       0.0007471
      0.0409560     -2.7712510       0.0004547       0.0007668
      0.0614339     -2.7715881       0.0004598       0.0008405
      0.0819119     -2.7720729       0.0005376       0.0009762
      0.1023899     -2.7727396       0.0005167       0.0008739
      0.1228679     -2.7736050       0.0004625       0.0006000
      0.1433459     -2.7745978       0.0010179       0.0007240
      0.1638238     -2.7756840       0.0018188       0.0007884
      0.1843018     -2.7768445       0.0027218       0.0008320
      0.2047798     -2.7780559       0.0036220       0.0008757
      0.2252578     -2.7792937       0.0044463       0.0009298
      0.2457358     -2.7805334       0.0051474       0.0009981
      0.2662137     -2.7817510       0.0056975       0.0010792
      0.2866917     -2.7829236       0.0060819       0.0011675
      0.3071697     -2.7840298       0.0062951       0.0012544
      0.3276477     -2.7850509       0.0063380       0.0013298
      0.3481256     -2.7859707       0.0062172       0.0013834
      0.3686036     -2.7867768       0.0059450       0.0014066
      0.3890816     -2.7874607       0.0055407       0.0013944
      0.4095596     -2.7880181       0.0050333       0.0013467
      0.4300376     -2.7884502       0.0044646       0.0012695
      0.4505155     -2.7887632       0.0038917       0.0011756
      0.4709935     -2.7889688       0.0033882       0.0010834
      0.4914715     -2.7890824       0.0030368       0.0010147
      0.5119495     -2.7891182       0.0029098       0.0009891
      0.5119495     -2.7891182       0.0029098       0.0009891
      0.5370086     -2.7892134       0.0034547       0.0011347
      0.5620676     -2.7894453       0.0048051       0.0015097
      0.5871267     -2.7897257       0.0065335       0.0020252
      0.6121858     -2.7899976       0.0083708       0.0026203
      0.6372448     -2.7902311       0.0101708       0.0032507
      0.6623039     -2.7904107       0.0118593       0.0038843
      0.6873630     -2.7905279       0.0134031       0.0044984
      0.7124221     -2.7905787       0.0147924       0.0050782
      0.7374811     -2.7905622       0.0160299       0.0056149
      0.7625402     -2.7904796       0.0171248       0.0061041
      0.7875993     -2.7903343       0.0180896       0.0065449
      0.8126583     -2.7901316       0.0189381       0.0069387
