# Omega(k)/|Omega(k)|, Omega(k) comes from the 4,5,6 columns of Berrycurvature.dat.
#col     1           2           3           4           5           6
  # kx (1/A)    ky (1/A)    kz (1/A)     Omega_x     Omega_y     Omega_z
   -0.266542   -0.262006   -0.116718   -0.394223    0.910208    0.126921
   -0.266542   -0.256659   -0.116718   -0.442300    0.896749   -0.014577
   -0.266542   -0.251311   -0.116718   -0.429562    0.903037   -0.000162
   -0.266542   -0.245964   -0.116718   -0.394044    0.918187    0.040759
   -0.266542   -0.240617   -0.116718    0.000003    0.000076   -0.000013
   -0.266542   -0.235270   -0.116718   -0.673366   -0.565693   -0.475993
   -0.266542   -0.229923   -0.116718    0.498418   -0.703935    0.506019
   -0.266542   -0.224576   -0.116718   -0.687453   -0.214225   -0.693914
   -0.266542   -0.219229   -0.116718   -0.700884   -0.596232   -0.391495
   -0.266542   -0.213882   -0.116718   -0.892972   -0.234463   -0.384224
   -0.266542   -0.208535   -0.116718   -0.613454   -0.756494   -0.226696
   -0.266542   -0.203188   -0.116718   -0.000026   -0.000066   -0.000004
   -0.266542   -0.197841   -0.116718   -0.000001   -0.000022    0.000007
   -0.266542   -0.192494   -0.116718    0.000009    0.000001    0.000012
   -0.266542   -0.187147   -0.116718    0.000019    0.000018    0.000017
   -0.266542   -0.181800   -0.116718    0.000036    0.000030    0.000026
   -0.266542   -0.176453   -0.116718    0.784292    0.341358    0.518036
   -0.266542   -0.171106   -0.116718    0.673964    0.308459    0.671286
   -0.266542   -0.165759   -0.116718    0.515304    0.750665    0.413477
   -0.266542   -0.160412   -0.116718    0.615407    0.788204   -0.003137
   -0.266542   -0.155065   -0.116718   -0.487571   -0.720893   -0.492532
   -0.266542   -0.149717   -0.116718    0.072671   -0.985092    0.155925
   -0.266542   -0.144370   -0.116718   -0.329150   -0.603236    0.726475
   -0.266542   -0.139023   -0.116718    0.169082   -0.983798    0.059606
   -0.266542   -0.133676   -0.116718    0.307369   -0.662766    0.682836
   -0.266542   -0.128329   -0.116718   -0.167667   -0.926403    0.337142
   -0.266542   -0.122982   -0.116718   -0.148956   -0.982162    0.114758
   -0.266542   -0.117635   -0.116718   -0.152758   -0.980536    0.123349
   -0.266542   -0.112288   -0.116718   -0.161605   -0.972818    0.165855
   -0.266542   -0.106941   -0.116718   -0.167303   -0.958658    0.230185
   -0.266542   -0.101594   -0.116718   -0.161830   -0.928927    0.333025
   -0.266542   -0.096247   -0.116718   -0.119676   -0.837001    0.533954
   -0.266542   -0.090900   -0.116718    0.087559   -0.308721    0.947114
   -0.266542   -0.085553   -0.116718    0.307370    0.716578    0.626131
   -0.266542   -0.080206   -0.116718    0.235009    0.904492    0.355900
   -0.266542   -0.074859   -0.116718   -0.144424    0.518732    0.842650
   -0.266542   -0.069512   -0.116718   -0.009821   -0.102972    0.994636
   -0.266542   -0.064165   -0.116718   -0.631251   -0.194474    0.750801
   -0.266542   -0.058818   -0.116718   -0.544864   -0.119040    0.830032
   -0.266542   -0.053471   -0.116718   -0.432569    0.072497    0.898681
   -0.266542   -0.048123   -0.116718   -0.492474    0.017525    0.870151
   -0.266542   -0.042776   -0.116718   -0.581317   -0.223700    0.782323
   -0.266542   -0.037429   -0.116718   -0.618819   -0.341425    0.707455
   -0.266542   -0.032082   -0.116718   -0.000059   -0.000029    0.000072
   -0.266542   -0.026735   -0.116718   -0.000042   -0.000016    0.000071
   -0.266542   -0.021388   -0.116718   -0.000025   -0.000010    0.000077
   -0.266542   -0.016041   -0.116718   -0.000006   -0.000011    0.000079
   -0.266542   -0.010694   -0.116718    0.000018   -0.000012    0.000068
