# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
    0.26554060    0.22581417    0.12517946    0.00000002    5.46600995    0.49008640    0.34057680    0.01899937
   -0.28639520    0.25230719   -0.03552587    0.00000003    5.47665793   -0.52857602    0.38053401    0.19187359
    0.23425894    0.17730516   -0.08819858    0.00000003    5.85188235    0.43235242    0.26741468   -0.40724744
   -0.28200111    0.15552583    0.08101674    0.00000003    5.56275591   -0.52046623    0.23456672    0.43654391
   -0.27392820    0.10032271    0.07262354    0.00000002    5.86763369   -0.50556672    0.15130842    0.41108118
   -0.27691115    0.13034731    0.07789833    0.00000002    5.70584381   -0.51107210    0.19659204    0.42512933
    0.27961833    0.14711862   -0.08797024    0.00000002    5.65697916    0.51606852    0.22188682   -0.44915988
    0.28129689    0.16497595   -0.08762074    0.00000003    5.59184949    0.51916649    0.24881955   -0.44998284
   -0.25535554    0.21801430    0.08176760    0.00000003    5.59336893   -0.47128868    0.32881290    0.41323967
    0.27167938    0.21557780   -0.07157595    0.00000002    5.51122503    0.50141626    0.32513812   -0.40674283
   -0.27039890    0.22520614   -0.11904768    0.00000002    5.46789280   -0.49905297    0.33965975   -0.00136883
    0.26615161    0.22565177    0.12412049    0.00000002    5.46641674    0.49121411    0.34033186    0.01616767
    0.26481916    0.22605987    0.12662112    0.00000002    5.46545089    0.48875491    0.34094736    0.02275115
    0.26336957    0.22683345    0.13049090    0.00000002    5.46405724    0.48607953    0.34211409    0.03236679
   -0.28860677    0.25536702   -0.02302664    0.00000003    5.48142590   -0.53265775    0.38514891    0.22062235
    0.25059133    0.18080618   -0.15961595    0.00000002    5.40807464    0.46249577    0.27269497   -0.57496530
    0.25310519    0.17453478   -0.15579755    0.00000003    5.44592131    0.46713540    0.26323633   -0.56916420
   -0.28663717    0.21810912    0.05530838    0.00000002    5.40362057   -0.52902262    0.32895590    0.38599913
    0.28120359    0.18340919   -0.07978616    0.00000002    5.53012215    0.51899430    0.27662088   -0.43317154
    0.27486775    0.21200301   -0.06921379    0.00000001    5.49607561    0.50730077    0.31974657   -0.40468080
    0.27883505    0.20060675   -0.07119986    0.00000002    5.49355596    0.51462288    0.30255853   -0.41262881
    0.26560570    0.21625908   -0.07928130    0.00000001    5.54556101    0.49020656    0.32616565   -0.41751368
   -0.26465977    0.22574717   -0.12253724    0.00000003    5.46688131   -0.48846073    0.34047575   -0.01418250
   -0.26464359    0.22574965   -0.12254481    0.00000002    5.46687630   -0.48843087    0.34047949   -0.01421379
   -0.26587797    0.22557343   -0.12193752    0.00000001    5.46723356   -0.49070907    0.34021371   -0.01176358
   -0.28258470    0.24073560   -0.06691785    0.00000002    5.46599011   -0.52154331    0.36308154    0.12130084
   -0.28650574    0.25250551   -0.03484030    0.00000002    5.47692060   -0.52878005    0.38083313    0.19344037
   -0.30145080    0.25323551    0.01965110    0.00000002    5.48520837   -0.55636291    0.38193413    0.32373040
   -0.27568207    0.21644748    0.06754220    0.00000002    5.48249121   -0.50880368    0.32644979    0.40187372
   -0.26151827    0.21635478    0.07943654    0.00000002    5.56882194   -0.48266274    0.32630998    0.41402433
    0.27672106    0.20804780   -0.06912099    0.00000002    5.49094086    0.51072126    0.31378125   -0.40621508
